Company,Date,ESG Score,ESG Combined Score,ESG Controversies Score,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
LMT.N,12/31/2011,58.90753016,58.90753016,66.66666667,89.0625,65.15151515,0,61.25,55,88.75,83.78378378,72.19387755,67.70408163,63.67112811
LMT.N,12/31/2010,56.55763932,45.46631966,34.375,88.70967742,85.9375,0,63.51351351,0,87.83783784,86.76470588,90.36326942,47.37638749,86.7
LNC.N,12/31/2018,55.47573905,55.47573905,100,94.27480916,93.18181818,12.77777778,61.40776699,73.5,92.96116505,35.85858586,40.84699454,58.33333333,54.82673267
LNC.N,12/31/2017,53.29423051,53.29423051,100,60.08064516,91.37931034,14.375,51.49253731,27.64705882,96.76616915,36.50793651,52.60939382,58.00883179,56.93069307
LNC.N,12/31/2016,52.9591209,52.9591209,100,63.91304348,87.59398496,0,58.04020101,45.96774194,95.72864322,37.43169399,53.22858373,55.68230736,26.76923077
LNC.N,12/31/2015,48.92848809,48.92848809,100,66.82692308,85.37735849,0,55.6547619,50,96.13095238,37.41496599,40.51616915,46.17537313,27.33333333
LNC.N,12/31/2014,40.1864309,40.1864309,100,61.88118812,74.76190476,0,54.33333333,0,84.66666667,34.27419355,32.83195021,43.51659751,25.32467532
LNC.N,12/31/2013,47.99831715,47.99831715,58.82352941,51.07526882,58.08080808,38.88888889,55.06756757,0,86.14864865,32.20338983,42.39130435,78.41614907,28.01094891
LNC.N,12/31/2012,43.63299603,43.63299603,54.54545455,46.55172414,53.57142857,34.54545455,55.90277778,0,65.49295775,32.32758621,36.20867769,83.41942149,28.2967033
LNC.N,12/31/2011,48.13361328,48.13361328,100,45.93023256,48.40425532,30,66.78321678,0,91.1971831,31.14035088,38.1122449,82.39795918,22.75334608
LNC.N,12/31/2010,49.68728998,49.68728998,56.4516129,52.5,21.02272727,35.71428571,72.88732394,0,89.08450704,33.18181818,55.44904137,49.59636731,0
LNC.N,12/31/2009,46.37960752,46.37960752,100,55.55555556,7.246376812,44.28571429,73.2,0,94.75806452,31.91489362,30.47767394,77.62201454,0
LNT.OQ,12/31/2018,59.63067572,59.63067572,100,69.81707317,83.72781065,56.25,51.38888889,0,70.83333333,52.5974026,66.33489461,35.46057767,50
LNT.OQ,12/31/2017,62.05569441,62.05569441,100,69.25675676,69.60784314,70.14388489,48.78787879,0,69.39393939,54.07407407,88.49859494,35.90927338,39.74540311
LNT.OQ,12/31/2016,60.70930306,60.70930306,100,64.38848921,62.84722222,71.13821138,45.3125,0,70.9375,57.2519084,88.69995695,44.10245372,39.53846154
LNT.OQ,12/31/2015,47.84711181,47.84711181,100,64.55223881,55.51724138,3.982300885,32.35294118,0,66.33986928,55.6,78.88681592,51.83457711,39.66666667
LNT.OQ,12/31/2014,42.94316327,42.94316327,100,52.47933884,50,6.989247312,34.765625,0,53.125,44.5,69.24273859,57.93568465,38.49721707
LNT.OQ,12/31/2013,39.13079107,39.13079107,100,50.84033613,37.80487805,6.111111111,23.98373984,0,64.63414634,47.97979798,60.61076605,58.74741201,40.69343066
LNT.OQ,12/31/2012,35.42244995,35.42244995,44.44444444,54.34782609,44.95798319,6.470588235,23.94957983,0,44.11764706,37.87878788,38.99793388,66.6838843,41.94139194
LNT.OQ,12/31/2011,41.07626989,41.07626989,100,57.82608696,48.29059829,7.142857143,19.4214876,0,70.41666667,45.45454545,51.07142857,75.66326531,44.45506692
LNT.OQ,12/31/2010,40.58866719,40.58866719,100,54.34782609,64.04958678,11.53846154,18.8,0,69.2,48.03921569,43.64278507,39.20282543,46.6
LNT.OQ,12/31/2009,46.2439369,46.2439369,100,60.98901099,51.5,10.48387097,29.04761905,0,74.76190476,52.29885057,72.63759086,37.95430945,49.77426637
LOW.N,2/2/2018,82.81415726,82.81415726,97.82608696,77.35042735,94.29824561,50,90.78212291,73.93162393,92.45810056,92.94871795,79.87900078,73.43871975,83.60148515
LOW.N,2/3/2017,83.65325101,83.65325101,90,82.71028037,94.55445545,46.80851064,90.54878049,52.52525253,95.12195122,93.01470588,87.85628262,72.19991971,83.87553041
LOW.N,1/29/2016,78.37760718,78.37760718,100,76.21359223,92.26804124,50.98039216,89.49044586,54.44444444,95.85987261,89.68253968,85.51442101,28.94963409,69.69230769
LOW.N,1/30/2015,79.53412626,60.41923704,41.30434783,77.95698925,92.69662921,53.48837209,86.74242424,56.08108108,94.65648855,85.14851485,89.58333333,38.09079602,69.58333333
