Company,Name,Company Common Name,TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Activity Name
WHR.N,WHIRL POOL CORP,Whirlpool Corp,Consumer Cyclicals,Cyclical Consumer Products,Household Goods,Household Appliances
WLTW.OQ,WLS TWR WTSN LTD,Willis Towers Watson PLC,Financials,Insurance,Insurance,Insurance Brokers
WM.N,WASTE MANAGEMNT,Waste Management Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment (NEC)
WMB.N,WILLIAMS COMPS,Williams Companies Inc,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services (NEC)
WMT.N,WALMART INC,Walmart Inc,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,Supermarkets & Convenience Stores
WRB.N,W R BERKLEY CP,W. R. Berkley Corp,Financials,Insurance,Insurance,Property & Casualty Insurance (NEC)
WRK.N,WESTROCK COMPANY,Westrock Co,Basic Materials,Applied Resources,Containers & Packaging,Paper Packaging (NEC)
WST.N,WEST PHARM SVCS,West Pharmaceutical Services Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution (NEC)"
WU.N,WESTERN UNION,Western Union Co,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Transaction & Payment Services
WY.N,WEYERHAEUSER CO,Weyerhaeuser Co,Financials,Real Estate,Residential & Commercial REITs,Timber REITs
WYNN.OQ,WYNN RESORTS,Wynn Resorts Ltd,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Casinos
XEL.OQ,XCEL ENERGY INC,Xcel Energy Inc,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
XLNX.OQ,XILINX INC,Xilinx Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors (NEC)
XOM.N,EXXON MOBIL,Exxon Mobil Corp,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing (NEC)
XRAY.OQ,DENTSPLY SIRONA,DENTSPLY SIRONA Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution (NEC)"
XRX.N,XEROX HOLDINGS,Xerox Holdings Corp,Technology,Technology Equipment,Office Equipment,Commercial Document Management
XYL.N,XYLEM INC,Xylem Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Pump & Pumping Equipment
YUM.N,YUM! BRANDS INC,Yum! Brands Inc,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Quick Service Restaurants
ZBH.N,ZMMR BIOMT HLDS,Zimmer Biomet Holdings Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution (NEC)"
ZBRA.OQ,ZEBRA TECH,Zebra Technologies Corp,Technology,Technology Equipment,Electronic Equipment & Parts,Electronic Equipment & Parts (NEC)
ZION.OQ,ZION BNCORPRT NA,Zions Bancorporation NA,Financials,Banking & Investment Services,Banking Services,Corporate Banks
ZTS.N,ZOETIS INC,Zoetis Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Veterinary Drugs
